Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
trip time mode i[a21,car],48.0045,48.2821,48.7289,49.8139,50.9789,51.8968,52.7985,53.7025,54.4693,55.4172,56.3496,57.1691,57.9532,58.9571,60.0429,60.9858,62.2817,63.3801,64.4441,65.7333,66.8544,67.9948,69.2615,70.6242,72.0805,73.9566,76.0103,78.2541,80.7331,83.3682,85.9367
trip time mode i[a22,car],80.3154,80.3134,80.9421,83.4898,85.7833,87.1308,88.5839,89.9462,91.247,93.0371,94.6266,95.96,97.1338,98.6015,100.153,101.556,103.569,105.073,106.697,108.454,110.086,111.771,113.394,115.312,116.693,118.43,120.247,122.153,124.132,126.222,128.398
trip time mode i[a23,car],76.4765,76.6961,77.6181,80.1787,82.7609,85.1409,87.1584,88.6742,90.0973,92.0335,93.7819,95.2496,96.5317,98.1329,99.8175,101.326,103.471,105.051,106.759,108.561,110.078,111.559,113.152,114.779,116.349,118.072,119.882,121.686,123.394,125.157,126.948
trip time mode i[a24,car],67.4159,67.7385,68.3139,70.3111,72.2916,73.901,75.6818,77.5186,79.1844,81.4556,83.8278,86.0202,87.9943,90.5328,93.3106,95.8195,99.1985,101.868,103.552,105.481,107,108.355,109.778,111.177,112.565,113.982,115.452,117.008,118.594,120.13,121.663
trip time mode i[a25,car],57.0676,57.3229,57.7905,59.2245,60.6612,61.7838,62.9655,64.1669,65.2367,66.6287,68.0282,69.2508,70.3498,71.8059,73.3858,74.7405,76.6804,78.2353,79.7763,81.0822,82.8484,84.3596,86.1485,87.7496,89.5174,91.5197,93.5277,95.9024,98.5246,101.323,104.214
trip time mode i[a26,car],47.6845,47.9882,48.3085,49.2627,50.2843,51.0785,51.8513,52.592,53.233,54.0655,54.861,55.5195,56.1638,56.9701,57.8488,58.6868,59.8785,61.1468,62.2344,63.6668,64.8565,66.0763,67.2846,68.3093,69.0916,69.4227,69.7866,70.1973,70.6207,71.0512,71.4913
trip time mode i[a27,car],50.8249,51.2185,51.8549,52.8862,53.991,54.8171,55.5332,56.1702,56.6694,57.2511,57.8222,58.3412,58.847,59.4493,60.1271,60.7206,61.5593,62.1981,62.8696,63.557,64.3685,65.1447,66.0822,66.9704,67.7491,68.6947,69.7371,70.8581,72.0488,73.359,74.8044
trip time mode i[a28,car],45.9425,46.2911,46.7217,47.4325,48.2014,48.7756,49.2466,49.6848,50.0155,50.3786,50.7183,51.0113,51.2783,51.6061,51.9623,52.201,52.7294,53.0026,53.3195,53.6513,53.9209,54.2031,54.5224,54.8572,55.193,55.5416,55.9205,56.3321,56.7685,57.2304,57.7242
trip time mode i[a29,car],48.7616,49.1996,49.7308,50.6009,51.5467,52.2368,52.8053,53.3303,53.7085,54.1091,54.4249,54.7837,55.0733,55.4546,55.906,56.26,56.755,57.0821,57.418,57.8153,58.1355,58.4485,58.8005,59.1694,59.538,59.9264,60.3412,60.7912,61.2718,61.7649,62.2878
trip time mode i[a30,car],43.3583,43.678,44.0781,44.7506,45.4867,46.0427,46.4754,46.8755,47.202,47.5278,47.8604,48.1587,48.4065,48.7307,49.1085,49.4113,49.8349,50.1271,50.4245,50.7773,51.0759,51.3812,51.7259,52.087,52.4524,52.8372,53.2564,53.7084,54.1869,54.6976,55.2436
