Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
trip time mode i[a81,pt bus],78.7543,78.8987,79.1122,79.9976,80.8452,81.318,81.745,81.9299,82.1561,82.7004,83.32,83.9095,84.4788,85.225,85.9939,86.7025,87.7278,88.5478,89.4791,90.5358,91.2395,92.6418,94.0203,95.8829,96.6646,97.8296,99.2392,100.775,102.441,104.283,105.6
trip time mode i[a82,pt bus],79.2926,79.46,79.9236,80.7652,81.5888,82.0488,82.4382,82.5846,82.7706,83.1735,83.6451,84.1054,84.5408,85.0982,85.7263,86.2558,87.0106,87.5834,88.2336,88.9931,89.6956,90.2121,91.2453,92.5254,94.1342,94.7871,95.4357,96.4621,97.5794,98.7782,100.079
trip time mode i[a83,pt bus],51.2956,51.4125,51.736,52.2267,52.681,52.9646,53.2097,53.4726,53.6274,53.7539,53.8286,54.0548,54.1735,54.358,54.5322,54.6505,54.8406,54.938,55.0111,55.1486,55.2309,55.2899,55.3667,55.4377,55.4882,55.5311,55.5726,55.6146,55.6544,55.6809,55.7012
trip time mode i[a84,pt bus],220.25,224.231,230.69,241.666,262.76,284.714,298.886,299.536,301.579,306.015,311.465,316.611,320.355,325.587,331.994,338.24,348.836,353.536,354.036,354.524,354.944,355.372,355.81,356.256,356.706,357.052,357.373,357.712,358.065,358.431,358.796
trip time mode i[a85,pt bus],64.462,64.6909,65.3326,66.6141,67.7967,68.5755,69.2428,69.7636,70.0354,70.3406,70.6745,70.8793,70.9766,71.1944,71.3354,71.3182,72.1225,72.8011,73.1271,73.4484,73.6577,73.8456,74.062,74.2642,74.4226,74.5823,74.7566,74.9464,75.1414,75.3341,75.5275
trip time mode i[a86,pt bus],45.3971,45.4736,45.699,46.0602,46.4056,46.6432,46.8326,47.0415,47.1782,47.3053,47.4259,47.5496,47.6203,47.687,47.6031,47.5974,47.758,47.8655,47.9265,48.0344,48.1209,48.1941,48.2409,48.2853,48.3189,48.3456,48.3805,48.4144,48.4461,48.4648,48.4777
trip time mode i[a87,pt bus],48.5172,48.7229,49.0981,49.6589,50.2152,50.6063,50.9325,51.2287,51.4421,51.644,51.8594,52.0726,52.2334,52.4538,52.712,52.902,53.1556,53.3251,53.4832,53.6822,53.8483,54.0074,54.1819,54.3574,54.5226,54.6854,54.8472,54.9865,55.1233,55.2518,55.3769
trip time mode i[a88,pt bus],44.1254,44.2742,44.5185,44.908,45.2887,45.5655,45.8088,46.0416,46.1956,46.3393,46.4752,46.6316,46.7788,46.9783,47.1982,47.3287,47.5081,47.6213,47.7149,47.8461,47.95,48.0466,48.15,48.2472,48.3305,48.4006,48.47,48.5342,48.5895,48.6024,48.5385
trip time mode i[a89,pt bus],48.2008,48.408,48.7809,49.3567,49.9119,50.3392,50.6931,51.0315,51.1941,51.4916,51.7537,52.0289,52.2419,52.5216,52.8366,53.0867,53.4305,53.6904,53.9169,54.1885,54.4361,54.6864,54.9596,55.2274,55.493,55.7666,56.0564,56.3639,56.6869,57.0147,57.354
trip time mode i[a90,pt bus],45.4024,45.586,45.9585,46.489,47.0051,47.383,47.7043,48.0112,48.2359,48.4268,48.5995,48.8358,49.0186,49.2542,49.51,49.6916,49.9497,50.1248,50.2925,50.4967,50.6558,50.813,50.9847,51.1536,51.3151,51.4795,51.6557,51.8422,52.0326,52.2184,52.4049
trip time mode i[a91,pt bus],57.4152,57.763,58.486,59.4465,60.3986,61.129,61.7338,62.3136,62.73,63.1266,63.4898,63.8232,64.1176,64.5108,64.9079,65.1572,65.7485,66.0732,66.4643,66.8389,67.1553,67.4851,67.844,68.2194,68.5892,68.98,69.4,69.8374,70.2822,70.7534,71.2543
trip time mode i[a92,pt bus],54.6708,54.7783,55.0431,55.4767,55.9413,56.2204,56.4619,56.7545,56.9467,57.122,57.2797,57.4015,57.5249,57.7007,57.8695,57.919,58.1394,58.2559,58.3538,58.4908,58.5719,58.6369,58.7191,58.7956,58.8534,58.9079,58.9713,59.037,59.1021,59.1566,59.2068
trip time mode i[a93,pt bus],52.1603,52.3236,52.7753,53.5062,54.2404,54.8323,55.3732,55.9056,56.304,56.7024,57.0939,57.4411,57.7792,58.2414,58.6537,59.0694,59.6325,60.0632,60.4579,60.7664,61.0001,61.16,61.2985,61.3564,61.3438,61.2829,61.1674,61.0916,61.6784,62.2341,62.3584
trip time mode i[a94,pt bus],47.6621,47.7605,48.0294,48.5025,48.9643,49.2734,49.5109,49.699,49.7486,49.7688,49.782,49.7359,49.7173,49.7728,49.7312,49.5888,49.7273,49.9003,49.9808,50.07,50.1356,50.19,50.2518,50.3076,50.3483,50.3851,50.4271,50.4697,50.5061,50.5307,50.5516
trip time mode i[a95,pt bus],50.032,50.1229,50.3962,50.9169,51.4111,51.7476,52.015,52.2371,52.3101,52.3636,52.4113,52.3671,52.2712,52.2038,52.3121,52.5977,52.7946,52.9238,53.0195,53.1608,53.2556,53.3379,53.4346,53.5275,53.6039,53.6773,53.7595,53.8463,53.9338,54.0114,54.0855
trip time mode i[a96,pt bus],43.0557,43.0554,43.2301,43.5225,43.7525,43.8685,43.9452,43.9594,43.9998,44.1459,44.2675,44.349,44.4264,44.5285,44.6573,44.7538,44.8951,44.9824,45.0409,45.1401,45.2073,45.2644,45.3314,45.3949,45.4455,45.491,45.5385,45.5875,45.6361,45.6761,45.7129
trip time mode i[a97,pt bus],45.3801,45.4763,45.7369,46.1961,46.6331,46.9708,47.2913,47.5858,47.8074,48.0467,48.3093,48.5639,48.8159,49.1363,49.4802,49.7826,50.2043,50.543,50.858,51.2237,51.6047,51.9478,52.2105,52.4544,52.6934,52.7724,52.8351,52.7946,52.7227,52.5959,52.4073
trip time mode i[a98,pt bus],51.5124,51.6047,51.9549,52.7517,53.5042,54.1102,54.6987,55.3761,55.964,56.5872,57.2404,57.9246,58.5803,59.4613,60.3456,61.2515,63.0864,63.9547,65.1299,66.6102,68.08,69.6672,71.5033,73.4471,75.4392,77.6469,80.1957,82.8326,85.9601,89.6863,93.8119
trip time mode i[a99,pt bus],46.8402,46.7405,46.8581,47.2661,47.6071,47.7321,47.7966,47.8058,48.0422,48.376,48.6002,48.7555,48.9239,49.1539,49.399,49.5801,49.9446,50.1205,50.2699,50.4941,50.6642,50.8116,50.9836,51.1576,51.3163,51.477,51.6552,51.8446,52.0395,52.229,52.412
trip time mode i[a100,pt bus],49.2203,49.3614,49.7605,50.5649,51.3912,52.0337,52.7139,53.3713,53.9249,54.5972,55.1994,55.7147,56.2283,56.8466,57.4732,58.0294,59.0336,59.5499,60.1546,60.9073,61.5875,62.2789,63.0625,63.9055,64.7638,65.6838,66.7009,67.812,69.0194,70.3387,71.7965
trip time mode i[a101,pt bus],47.5441,47.4171,47.4424,47.6249,47.9909,48.258,48.4528,48.6645,48.8073,48.95,49.0725,49.1963,49.3058,49.4719,49.6625,49.7765,49.9564,50.0604,50.143,50.2763,50.3638,50.4368,50.5261,50.6126,50.6836,50.751,50.8273,50.9065,50.9851,51.0534,51.1174
trip time mode i[a102,pt bus],42.7145,42.6875,42.8207,43.1267,43.3548,43.4475,43.5072,43.4795,43.2924,43.3643,43.508,43.557,43.6608,43.78,43.9256,43.9973,44.1195,44.1916,44.2391,44.3302,44.3901,44.4376,44.499,44.5576,44.6026,44.6436,44.693,44.743,44.7918,44.8293,44.863
trip time mode i[a103,pt bus],47.3649,47.4816,47.7776,48.32,48.8423,49.2277,49.5906,49.948,50.2506,50.5752,50.9284,51.2493,51.5692,51.9696,52.3564,52.9218,53.5918,54.0019,54.3986,54.9384,55.4689,56.0151,56.6236,57.2393,57.8508,58.5024,59.2161,59.9956,60.8348,61.6735,62.4964
trip time mode i[a104,pt bus],44.0081,43.8799,43.907,44.1299,44.2406,44.2846,44.4771,44.6655,44.7651,44.8705,44.9627,45.0871,45.1642,45.3093,45.4662,45.541,45.6675,45.739,45.7792,45.8706,45.93,45.976,46.0409,46.1043,46.1522,46.1952,46.2479,46.3017,46.3532,46.3923,46.4266
trip time mode i[a105,pt bus],78.7538,78.9324,79.4927,81.8549,84.2174,86.2032,88.633,91.9191,95.5344,97.2679,98.97,99.8121,100.642,101.759,102.797,103.557,104.854,105.582,106.28,106.998,107.524,108.045,108.569,109.077,109.548,110.019,110.494,110.996,111.505,112.018,112.536
trip time mode i[a106,pt bus],48.6107,48.7364,49.0384,49.6438,50.2321,50.6675,51.0777,51.4696,51.7879,52.1236,52.4698,52.863,53.3028,53.7758,54.2562,54.5874,54.9536,55.3229,55.6729,56.1158,56.525,56.938,57.3951,57.8344,58.2708,58.7308,59.2302,59.7673,60.3387,60.9232,61.5351
trip time mode i[a107,pt bus],50.3812,50.2254,50.2461,50.6325,50.9102,51.0374,51.0583,51.2604,51.5296,51.7554,51.9409,52.0868,52.2473,52.4879,52.7496,52.9534,53.321,53.6759,53.8645,53.8718,54.0969,54.2609,54.4227,54.5359,54.6071,54.6759,54.7595,54.8472,54.9313,54.9994,55.0609
trip time mode i[a108,pt bus],51.1839,51.2938,51.6257,52.2897,52.9236,53.3855,53.8344,54.2314,54.5398,54.9039,55.3054,55.6913,56.0769,56.5788,57.1111,57.5856,58.3166,58.6143,59.158,59.7801,60.2588,60.5653,61.0093,61.4854,61.9451,62.3958,62.847,63.3156,63.794,64.2194,64.4207
trip time mode i[a109,pt bus],51.5838,51.4535,51.4807,51.7815,51.9787,51.9986,51.9498,52.116,52.3456,52.5855,52.7815,52.9406,53.0433,53.224,53.5085,53.6753,53.9341,54.0631,54.1667,54.3434,54.4479,54.5348,54.6556,54.7762,54.8741,54.9672,55.0741,55.1877,55.3013,55.4031,55.5017
trip time mode i[a110,pt bus],53.7143,53.7291,53.9382,54.658,55.2753,55.7097,56.1491,56.5667,56.8785,57.2706,57.7049,58.0823,58.357,58.6683,59.1491,59.25,59.6609,59.4218,59.0162,59.129,59.7402,60.1123,60.284,60.4749,60.6465,60.8151,61.0005,61.2007,61.3949,61.5777,61.7592
trip time mode i[a111,pt bus],54.1459,54.2082,54.479,55.4559,56.4061,57.1251,57.8269,58.653,59.3484,60.0879,60.8899,61.6774,62.8484,63.9296,64.9999,65.8303,66.441,67.1834,67.9046,68.8778,69.7708,70.6132,71.5367,72.5194,73.5006,74.503,75.5732,76.6597,77.8678,79.1556,80.3155
trip time mode i[a112,pt bus],59.8116,59.9882,60.3932,61.1251,61.8174,62.3076,62.8046,63.4214,63.9829,64.6169,65.1747,65.6245,66.0939,66.7045,67.3556,67.951,69.0182,69.4822,69.888,70.6552,71.3248,72.072,72.9139,73.8193,74.7524,75.755,76.859,78.079,79.4152,80.8797,82.4964
trip time mode i[a113,pt bus],129.866,130.087,131.13,132.917,134.488,136.013,138.018,139.93,141.562,143.014,143.882,144.57,145.272,146.113,146.998,147.854,149.467,150.248,151.299,152.37,152.873,153.272,153.691,153.985,154.177,154.373,154.539,154.681,154.826,154.975,155.126
trip time mode i[a114,pt bus],235.545,234.938,233.224,233.456,235.441,238.106,240.585,243.585,245.875,247.881,249.781,251.163,252.392,253.89,255.296,256.575,259.031,260.164,261.851,263.5,264.335,264.999,265.696,266.391,267.041,267.693,268.354,269.038,269.73,270.427,271.126
trip time mode i[a115,pt bus],88.1155,88.834,90.1952,93.2165,95.6821,96.453,98.1127,100.844,103.8,106.707,109.793,113.744,119.247,129.689,151.701,153.107,156.073,157.405,158.984,160.946,161.871,162.579,163.342,163.885,164.214,164.548,164.897,165.27,165.65,166.039,166.433
trip time mode i[a116,pt bus],124.734,107.671,99.1235,109.705,116.992,122.546,124.679,125.186,125.556,126.095,126.469,126.884,127.39,127.817,128.614,129.184,127.691,129.563,124.428,118.017,116.556,115.564,116.039,116.817,117.289,117.711,118.414,119.175,119.916,120.513,121.123
trip time mode i[a117,pt bus],115.571,113.902,110.242,107.008,105.488,107.066,111.399,118.307,121.599,119.689,119.006,119.218,119.479,119.986,124.663,126.483,135.824,151.003,151.457,151.946,152.192,152.379,152.585,152.794,152.983,153.172,153.368,153.574,153.78,153.988,154.199
trip time mode i[a118,pt bus],99.554,95.844,93.5828,91.0298,85.5312,82.4574,87.5863,91.9562,94.9113,100.316,103.584,104.481,104.008,104.55,104.849,103.989,102.109,102.295,95.2217,89.6239,88.145,86.6255,86.9132,87.5983,87.956,88.1313,88.6234,88.9283,88.8465,88.5727,88.3846
trip time mode i[a119,pt bus],57.5214,55.8478,55.3679,55.0363,53.3553,52.5037,52.7825,52.923,53.8246,56.2059,57.7622,57.7938,57.7914,58.1274,58.4907,58.5356,58.021,58.1836,55.694,54.1762,53.8234,53.5446,53.7197,53.9934,54.1692,54.2476,54.4415,54.6141,54.7386,54.6906,54.5842
trip time mode i[a120,pt bus],74.2878,71.8638,65.2822,64.1721,66.361,66.6415,66.4415,67.2075,69.8025,74.2441,76.6372,76.6605,76.8592,77.7519,78.4734,78.792,79.174,79.5349,77.2368,75.133,74.8388,75.1248,75.4238,75.898,76.1809,76.2696,76.556,76.8026,76.9474,76.7563,76.4172
trip time mode i[a121,pt bus],167.141,166.741,167.444,168.872,170.292,171.529,172.787,173.808,174.716,175.532,176.323,176.983,177.707,178.653,179.429,180.111,181.55,182.252,183.267,184.307,184.843,185.28,185.737,186.196,186.628,187.067,187.517,187.989,188.472,188.968,189.474
trip time mode i[a122,pt bus],77.3461,77.4929,77.8589,78.9767,79.9997,80.6558,81.2293,81.6423,82.1095,82.7956,83.921,85.1736,86.2594,87.7456,88.9869,91.0523,95.7902,97.5659,102.543,107.578,109.586,111.048,111.757,113.502,114.033,114.693,115.366,116.053,116.747,117.448,118.152
trip time mode i[a123,pt bus],155.666,155.192,155.641,156.277,156.407,156.993,157.883,158.868,159.609,160.37,161.145,161.749,162.152,162.68,163.21,163.706,164.859,165.399,166.268,167.113,167.51,167.818,168.141,168.463,168.768,169.075,169.387,169.71,170.038,170.37,170.706
trip time mode i[a124,pt bus],168.845,164.146,155.447,150.37,158.836,172.331,177.168,178.815,179.742,179.137,178.694,181.198,187.807,188.685,189.576,190.38,192.097,192.86,194.123,195.387,195.965,196.395,196.841,197.287,197.71,198.133,198.561,199.002,199.445,199.89,200.337
trip time mode i[a1,pt rail],129.963,130.861,131.012,132.358,134.181,135.383,136.277,137.155,138.031,138.976,140.128,141.42,142.666,144.041,145.437,146.741,149.281,150.436,152.181,153.273,155.294,157.223,159.297,161.517,163.882,166.431,169.169,172.122,174.571,177.136,179.885
trip time mode i[a2,pt rail],107.193,108.325,108.827,110.05,111.633,112.765,112.937,113.289,113.665,114.095,114.554,115.026,115.514,116.035,116.574,117.017,117.64,117.929,118.27,118.669,118.957,119.217,119.508,119.795,120.073,120.358,120.644,120.939,121.241,121.549,121.858
trip time mode i[a3,pt rail],204.867,207.497,208.092,210.434,214.244,215.994,217.213,218.367,219.517,220.704,222.051,223.622,225.272,226.878,228.476,229.877,232.261,233.273,234.776,236.4,238.056,239.819,241.691,243.682,245.8,248.075,250.513,253.14,255.971,259.022,262.306
trip time mode i[a4,pt rail],100.015,100.267,101.517,103.699,105.915,107.932,110.044,112.352,113.92,115.237,115.892,116.63,117.353,118.153,118.865,119.245,119.782,120.094,120.465,120.82,121.144,121.501,121.751,121.992,122.22,122.456,122.694,122.945,123.205,123.474,123.746
trip time mode i[a5,pt rail],69.9992,70.2305,70.3046,70.7104,71.3803,71.7686,72.1313,72.477,72.6955,72.9806,73.3123,73.6972,74.054,74.5044,74.6775,74.8283,75.0126,75.1229,75.2416,75.3483,75.4367,75.539,75.6433,75.7501,75.8348,75.8555,75.8762,75.8983,75.9214,75.9454,75.9698
trip time mode i[a6,pt rail],106.862,107.974,109.179,112.045,115.165,117.271,118.442,119.929,121.066,122.268,123.307,124.428,125.546,126.771,127.967,129.055,130.467,131.397,132.447,133.574,134.647,135.753,136.899,138.083,139.302,140.586,141.922,143.025,144.19,145.417,146.704
trip time mode i[a7,pt rail],66.9142,66.9046,67.0127,67.5326,68.0888,68.7861,69.4437,70.0082,70.4062,70.9445,71.1325,71.3183,71.5016,71.6911,71.8749,72.0552,72.229,72.2633,72.2997,72.3489,72.3852,72.4194,72.4536,72.4869,72.5183,72.5507,72.5834,72.6178,72.6535,72.6903,72.7273
trip time mode i[a8,pt rail],52.0449,52.3801,52.6997,53.6488,54.9907,56.1064,56.9028,57.3235,57.6236,57.9038,58.0506,58.1993,58.3495,58.5022,58.6568,58.781,58.8751,58.906,58.9336,58.9623,58.9774,59.0076,59.0284,59.0486,59.0678,59.0878,59.108,59.1295,59.1519,59.1752,59.1988
trip time mode i[a9,pt rail],61.0718,62.0601,64.1579,67.6603,71.5246,75.0256,78.1981,82.2139,83.4367,83.8363,84.3435,84.9257,85.5331,86.1841,86.8296,87.3281,87.6701,87.8889,88.0851,88.2873,88.4423,88.5908,88.7374,88.8801,89.0155,89.1448,89.2748,89.4118,89.5537,89.7003,89.8496
trip time mode i[a10,pt rail],56.1948,56.3725,56.5668,57.0684,57.5453,57.8488,58.1125,58.3968,58.6323,58.9146,59.1005,59.099,59.5639,59.7989,60.1849,60.4039,60.7467,60.8811,61.0604,61.275,61.3674,61.4319,61.5018,61.5565,61.5827,61.6087,61.633,61.6642,61.6938,61.7198,61.7149
trip time mode i[a11,pt rail],55.0951,55.2931,55.7808,56.7631,57.8408,58.9754,60.0889,61.6693,62.8853,64.2748,65.1117,65.7542,66.3725,67.0877,67.8847,68.3241,69.3251,69.7166,70.2169,70.682,70.8439,70.9386,71.0574,71.1539,71.1728,71.1857,71.1976,71.2276,71.253,71.2625,71.261
trip time mode i[a12,pt rail],70.405,71.2083,72.575,73.8662,75.309,76.6909,77.7101,79.2135,80.2179,80.9975,81.5485,82.0355,82.4068,82.756,83.1239,83.4283,83.6933,83.8023,83.9384,84.0444,84.11,84.1656,84.2358,84.3069,84.3648,84.4235,84.4829,84.5206,84.5598,84.6006,84.6425
trip time mode i[a13,pt rail],64.2201,64.6635,65.8991,66.9717,68.2294,69.3742,70.461,71.8227,72.6747,73.2039,73.7548,74.2813,74.4457,74.6136,74.7811,74.9375,75.1064,75.2017,75.2942,75.4074,75.4971,75.5872,75.683,75.7811,75.8808,75.9848,76.0895,76.1939,76.3027,76.4159,76.534
trip time mode i[a14,pt rail],57.2212,57.2875,57.4264,57.9122,58.4126,58.7567,59.0976,59.5494,59.8867,60.3571,60.6865,60.981,61.2077,61.4676,61.7565,62.0179,62.2919,62.3903,62.4685,62.5776,62.6417,62.6972,62.7614,62.8196,62.859,62.8994,62.9393,62.9811,63.0239,63.0674,63.11
trip time mode i[a15,pt rail],47.0906,47.3594,47.8042,48.3922,49.2974,50.0737,50.6752,51.4825,52.06,52.5605,52.9438,53.1755,53.3568,53.487,54.093,54.3425,54.779,54.9626,55.1544,55.3918,55.5031,55.5817,55.6637,55.7329,55.7665,55.7961,55.8258,55.8599,55.8898,55.9165,55.9373
trip time mode i[a16,pt rail],44.2233,44.1642,44.1901,44.3044,44.4075,44.5224,44.6407,44.7713,44.7776,44.8176,44.7632,44.6505,44.5241,44.703,44.878,44.9653,45.0979,45.1589,45.2253,45.2944,45.3323,45.3646,45.398,45.4256,45.4432,45.4608,45.4792,45.4999,45.5211,45.5423,45.5621
trip time mode i[a17,pt rail],41.6975,41.7827,41.8808,42.115,42.5258,42.901,43.2291,43.6187,43.8492,44.0105,44.1347,44.18,44.1872,44.1876,44.1269,44.0387,43.9635,43.798,43.6419,43.4763,43.2134,43.0942,43.2116,43.2971,43.3353,43.3739,43.4159,43.4621,43.5095,43.5579,43.6077
trip time mode i[a18,pt rail],115.926,117.03,118.955,121.977,125.03,128.126,130.446,132.894,134.708,136.062,137.752,139.631,141.484,143.589,145.744,147.747,150.334,152.354,154.903,157.201,159.191,160.737,161.052,161.357,161.645,161.945,162.247,162.566,162.899,163.245,163.595
trip time mode i[a19,pt rail],51.9918,52.0069,52.5914,54.0739,55.5557,56.7625,57.6599,58.8282,59.7871,60.9391,61.8421,62.4786,62.6902,62.9639,63.2462,63.4602,63.6848,63.7845,63.8761,63.9838,64.064,64.1228,64.1882,64.258,64.3178,64.3765,64.4395,64.5079,64.5765,64.646,64.7174
trip time mode i[a20,pt rail],40.9929,40.8291,40.6774,40.7088,40.768,40.8726,41.133,41.3699,41.5046,41.6721,41.823,41.9628,42.097,42.272,42.4109,42.592,42.8163,42.934,43.0629,43.1914,43.2553,43.3041,43.3556,43.4098,43.4583,43.5062,43.5552,43.6089,43.6599,43.7108,43.762
trip time mode i[a21,pt rail],41.2133,41.4859,42.207,42.8456,43.4938,44.0195,44.5002,45.1018,45.4821,45.6655,45.8672,46.0683,46.2626,46.4935,46.7328,46.9298,47.1506,47.3468,47.5518,47.8028,48.0071,48.2183,48.4512,48.6977,48.9583,49.1826,49.4558,49.7991,50.2387,50.7879,51.4243
trip time mode i[a22,pt rail],71.3986,71.9213,73.3498,75.1125,76.9587,78.3438,79.4784,81.0512,81.9652,82.4197,82.6957,82.9869,83.2547,83.5228,83.7842,84.0285,84.2795,84.4309,84.5734,84.7245,84.8719,85.0234,85.1658,85.3347,85.4553,85.6075,85.7652,85.9301,86.1019,86.281,86.4672
trip time mode i[a23,pt rail],67.6622,68.4369,70.5033,72.7151,74.9615,76.781,78.0931,79.6252,80.5448,80.9915,81.252,81.5428,81.8297,82.1216,82.4236,82.6921,82.9451,83.0993,83.2462,83.4033,83.5533,83.7015,83.8566,84.0131,84.1647,84.33,84.5014,84.6812,84.8688,85.0596,85.2416
trip time mode i[a24,pt rail],55.8873,56.2859,57.2552,58.2982,59.5044,60.7223,61.8782,63.4097,64.3978,65.1274,65.7504,66.3772,66.9567,67.6294,68.3236,68.9457,69.6482,70.1482,70.3297,70.5444,70.7296,70.9094,71.0671,71.2196,71.3729,71.5255,71.677,71.8328,71.9868,72.1373,72.2896
trip time mode i[a25,pt rail],46.8518,47.1868,48.1547,49.0976,50.0252,51.0264,51.829,52.8975,53.6352,54.2194,54.6633,55.0684,55.461,55.9563,56.4775,56.9423,57.5138,57.9132,58.3143,58.4411,58.9429,59.3669,59.8632,60.3004,60.8166,61.4223,62.0544,62.7239,63.5175,64.5131,65.7371
trip time mode i[a26,pt rail],39.0036,39.1688,39.1597,39.5568,40.0249,40.3496,40.6234,40.8573,41.0194,41.249,41.5379,41.8082,42.0692,42.3845,42.6787,42.8207,42.8468,43.0295,43.0718,43.2074,43.0885,42.8982,42.9177,43.5171,43.9771,44.1438,44.3251,44.5306,44.747,44.9737,45.209
trip time mode i[a27,pt rail],51.8563,51.9467,52.3838,53.0123,53.6489,54.2028,54.7452,55.4285,55.9616,56.7031,57.1154,57.5216,57.9421,58.3802,58.8645,59.2888,59.8493,60.2215,60.6219,60.9521,61.488,62.0195,62.6741,63.236,63.7312,64.3562,65.0447,65.8006,66.624,67.5425,68.5681
trip time mode i[a28,pt rail],46.1188,46.2058,46.2838,46.5194,46.8052,47.1301,47.4273,47.813,48.0911,48.4684,48.6442,48.7983,48.9355,49.0867,49.2167,49.2393,49.5259,49.6082,49.7142,49.7984,49.8496,49.9023,49.9512,49.9945,50.036,50.0717,50.1038,50.1331,50.1539,50.1646,50.162
trip time mode i[a29,pt rail],54.6699,54.9955,55.2305,55.9264,56.991,57.9469,58.7851,59.9579,60.7092,61.3719,61.5681,61.9537,62.2311,62.5442,62.8773,63.1361,63.4444,63.5764,63.722,63.9075,64.0338,64.1576,64.3056,64.4584,64.6048,64.7601,64.9249,65.1067,65.3029,65.5011,65.712
trip time mode i[a30,pt rail],40.7548,41.133,41.8927,42.5473,43.2304,43.8283,44.2242,44.7355,45.0464,45.1477,45.2682,45.385,45.4727,45.5811,45.708,45.791,45.8752,45.9111,45.9466,45.9935,46.0245,46.0532,46.0823,46.1072,46.126,46.1441,46.1625,46.1811,46.1977,46.2138,46.2283
trip time mode i[a31,pt rail],38.7636,38.8771,38.9581,39.1233,39.3448,39.4858,39.571,39.6457,39.6578,39.6626,39.6741,39.7269,39.7521,39.7864,39.8271,39.8428,39.8728,39.8598,39.8463,39.8357,39.8083,39.7733,39.7378,39.691,39.6275,39.5514,39.4592,39.3024,39.1032,38.8697,38.8685
trip time mode i[a32,pt rail],48.2071,48.398,49.1315,49.7108,50.2538,50.8693,51.4627,52.269,52.7618,53.089,53.2621,53.4205,53.5492,53.6922,53.7416,53.921,54.086,54.1609,54.2108,54.2716,54.3094,54.3399,54.3785,54.4112,54.4301,54.441,54.4467,54.3176,54.126,53.9137,53.6601
trip time mode i[a33,pt rail],38.1717,38.3129,38.7961,39.1844,39.53,39.8809,40.2178,40.6484,40.8887,40.9839,41.0796,41.1737,41.2493,41.3388,41.4196,41.4992,41.6173,41.6924,41.7662,41.8485,41.9137,41.9786,42.0498,42.1234,42.1899,42.2564,42.3272,42.342,42.3325,42.3124,42.2886
trip time mode i[a34,pt rail],42.7145,43.0394,43.9175,44.6579,45.3735,46.1341,46.7412,47.5636,48.0417,48.3018,48.4345,48.5621,48.6597,48.7867,48.8615,48.9449,49.0543,49.0807,49.0987,49.1185,49.11,49.0897,49.0641,49.0197,48.9503,48.8648,48.7587,48.5046,48.1457,47.728,47.9165
trip time mode i[a35,pt rail],41.9251,42.0566,42.3088,42.6612,43.0378,43.2106,43.3297,43.3969,43.4457,43.52,43.6158,43.716,43.8121,43.942,44.0756,44.1885,44.2992,44.3692,44.4916,44.6301,44.7265,44.8212,44.9229,45.0239,45.1172,45.195,45.2718,45.2489,45.1844,45.1065,45.0149
trip time mode i[a36,pt rail],44.2426,44.4317,45.1693,45.7733,46.3596,46.9819,47.5592,48.3629,48.8558,49.1836,49.3421,49.463,49.467,49.7451,49.9278,50.0741,50.2394,50.314,50.396,50.4958,50.563,50.6306,50.7045,50.7755,50.8376,50.9016,50.9685,50.9318,50.8514,50.7653,50.6674
trip time mode i[a37,pt rail],43.675,43.7914,43.9967,44.2992,44.6319,44.9835,45.1804,45.4538,45.651,45.9235,46.0525,46.1642,46.2789,46.4222,46.5689,46.7033,46.859,46.9369,47.0217,46.9366,47.1177,47.1864,47.3119,47.3874,47.4809,47.585,47.701,47.8333,47.9825,48.1473,48.332
trip time mode i[a38,pt rail],37.2992,37.6113,37.958,38.4267,38.8888,39.1258,39.1859,39.2519,39.3022,39.3632,39.426,39.4758,39.575,39.6281,39.7413,39.8083,39.8747,39.8892,39.9057,39.9308,39.9408,39.9488,39.9541,39.9537,39.945,39.9329,39.9166,39.8374,39.7278,39.6049,39.4667
trip time mode i[a39,pt rail],40.3597,40.6555,41.324,41.8498,42.3754,42.8314,43.2494,43.8093,44.1351,44.2355,44.3512,44.4555,44.5485,44.6595,44.7789,44.8524,44.9392,44.9471,45.0178,45.1028,45.1505,45.1855,45.233,45.2783,45.3167,45.3557,45.3959,45.3346,45.2176,45.08,44.9174
trip time mode i[a40,pt rail],41.7832,42.2918,43.6217,44.6164,45.609,46.511,47.167,48.0679,48.6209,48.7715,48.9435,49.0985,49.2495,49.4389,49.6361,49.7959,49.9592,50.028,50.0456,50.0493,50.1247,50.1931,50.2523,50.3109,50.3719,50.4383,50.5057,50.5779,50.6534,50.7184,50.787
trip time mode i[a41,pt rail],47.0514,47.1791,47.234,47.508,48.0062,48.3275,48.5776,48.8541,49.0415,49.1833,49.3376,49.4718,49.5943,49.7427,49.877,49.9998,50.1725,50.2827,50.4001,50.5124,50.6098,50.7562,50.9276,51.0697,51.1829,51.3323,51.4951,51.6771,51.8808,52.1095,52.3674
trip time mode i[a42,pt rail],59.6142,59.6743,59.3399,59.6395,60.1539,60.5875,60.9679,61.4077,61.7127,62.2028,62.495,62.7571,62.9652,63.1233,63.5243,63.7579,64.1499,64.3575,64.5864,64.8673,65.0899,65.3058,65.5139,65.7138,65.8927,66.0714,66.25,66.2702,66.2092,66.096,65.9121
